param,value,accuracy
mutation_rate,0.0,0.8100000000000002
mutation_rate,0.005,0.8966666666666668
mutation_rate,0.01,0.8933333333333333
mutation_rate,0.5,0.8866666666666669
mutation_rate,0.1,0.8733333333333334
